"id","generation_number","fitness","crossover_probability","mutation_probability","genes"
"1","9","865.0000","0.80000","0.02439","0.2373971352353692,-0.6977807371877134,-1,-0.4403453222475946,0.14876565244048834,0.015651265159249306,1,0.5068768481723964,1,0.25288329273462296,-0.16290186578407884,1,0.24555197078734636,0.2573270951397717,-0.24020085344091058,-0.23090794868767262,0.31881503155454993,0.8688091980293393,0.2613921267911792,-0.7839306341484189,-0.21037689805258192,0.7294858922250569,0.4390210756100714,-0.8949032365344465,0.5458262329921126,-0.7275282759219408,-0.219531309325248,0.20185493759844486,0.4792003473266959,0.704184987116605,0.7545507328898483,-0.2000399432145059,0.08220891887322068,-0.8439392223954201,-0.3361561601050198,0.9240586599335074,-0.7182268467731774,0.3460067738778889,0.1662108674645424,0.445811630692333,-0.9753845264203846"
"2","19","2989.0000","0.80000","0.02439","0.2373971352353692,-0.6977807371877134,-1,-1,-0.22373381775915507,0.015651265159249306,1,0.5068768481723964,1,-0.4213257417547921,-0.16290186578407884,1,0.24555197078734636,0.2573270951397717,-0.24020085344091058,-0.23090794868767262,1,0.8688091980293393,0.2613921267911792,-0.7839306341484189,-0.21037689805258192,0.7294858922250569,0.4390210756100714,-0.3439050298635705,0.5458262329921126,-0.7275282759219408,-0.219531309325248,-0.5923543456814016,0.4792003473266959,0.704184987116605,0.7716259549517568,-0.5627242568127383,0.08220891887322068,-0.8439392223954201,0.3577459186058648,0.9240586599335074,-0.7182268467731774,0.3460067738778889,0.1662108674645424,0.445811630692333,-0.9753845264203846"
"3","29","2814.0000","0.80000","0.02439","0.2373971352353692,-0.6977807371877134,-1,-1,-0.22373381775915507,0.015651265159249306,1,0.5068768481723964,1,0.23385003708171626,-0.16290186578407884,1,0.24555197078734636,-0.45349221241353954,-0.24020085344091058,-0.23090794868767262,0.31881503155454993,0.8688091980293393,0.2613921267911792,-1,-0.21037689805258192,0.8817823568342646,0.4390210756100714,0.6824244239504484,-0.0857997520985182,-0.7275282759219408,-1,0.20185493759844486,0.35567141577407524,-0.4387136496426962,0.7716259549517568,0.30549146526868676,0.08220891887322068,-0.8439392223954201,0.3577459186058648,0.9240586599335074,-0.5326854331881015,0.3460067738778889,0.1662108674645424,0.445811630692333,-1"
"4","39","1342.0000","0.80000","0.02439","0.2373971352353692,-0.6977807371877134,-0.7648911312278086,-1,-0.20678327981597724,0.015651265159249306,1,0.5068768481723964,1,0.23385003708171626,-0.16290186578407884,1,0.24555197078734636,0.2573270951397717,-0.3173525371761751,-0.23090794868767262,0.31881503155454993,0.8688091980293393,0.2613921267911792,-1,0.4954848266729885,0.6175003550691577,0.4390210756100714,-0.3439050298635705,0.5458262329921126,-0.5659991265832719,-0.219531309325248,0.20185493759844486,0.35567141577407524,0.704184987116605,1,-0.5627242568127383,0.08220891887322068,-0.8439392223954201,0.3577459186058648,0.9240586599335074,-0.7182268467731774,0.3460067738778889,-1,0.3423729956692555,-0.9753845264203846"
"5","49","3120.0000","0.80000","0.02439","0.2373971352353692,-0.6977807371877134,-0.7648911312278086,-1,-0.20678327981597724,0.8210470176025517,1,0.5068768481723964,1,-0.005896247167510721,-0.16290186578407884,0.2911311126326078,0.808961811819461,0.2573270951397717,-0.3173525371761751,-0.23090794868767262,0.31881503155454993,0.8688091980293393,0.2613921267911792,-1,0.4954848266729885,0.6175003550691577,0.4390210756100714,-0.3439050298635705,0.5458262329921126,-0.7254705909690132,-0.219531309325248,0.20185493759844486,0.35567141577407524,0.704184987116605,1,-0.5627242568127383,0.08220891887322068,-0.8439392223954201,0.3577459186058648,0.9240586599335074,-0.7182268467731774,0.3460067738778889,-1,0.3423729956692555,-0.9753845264203846"
"6","59","3434.0000","0.80000","0.02439","0.193425267845605,-0.6977807371877134,-0.7648911312278086,-1,-0.20678327981597724,0.015651265159249306,1,0.5068768481723964,1,-0.005896247167510721,-0.16290186578407884,0.2911311126326078,0.24555197078734636,0.2573270951397717,-0.3173525371761751,-0.23090794868767262,0.31881503155454993,0.8688091980293393,0.2613921267911792,-1,0.4954848266729885,0.6175003550691577,1,-0.3439050298635705,0.5458262329921126,-0.7254705909690132,-0.219531309325248,0.20185493759844486,0.35567141577407524,0.704184987116605,1,-0.19448881774270332,0.08220891887322068,-0.8157843912543459,0.42067309231889377,0.5477936367006111,-0.7182268467731774,0.3460067738778889,-1,-0.19077494689698615,-0.9753845264203846"
"7","69","2748.0000","0.80000","0.02439","0.2373971352353692,-0.6977807371877134,-0.7648911312278086,-1,-0.20678327981597724,0.10606559776229758,1,0.5068768481723964,1,-0.005896247167510721,-0.16290186578407884,-0.16323813500677153,0.24555197078734636,0.2573270951397717,-0.3173525371761751,-0.23090794868767262,0.31881503155454993,0.49320489491512204,0.2613921267911792,-1,0.8334687755787831,0.6175003550691577,1,-0.3439050298635705,0.9543738270631597,-0.7254705909690132,1,0.20185493759844486,0.35567141577407524,0.704184987116605,1,-0.19448881774270332,-0.03891580650493906,-0.8157843912543459,0.3577459186058648,0.5477936367006111,-0.7182268467731774,0.21205266997193395,-1,-0.19077494689698615,-0.9753845264203846"
"8","79","2809.0000","0.80000","0.02439","0.193425267845605,-0.6977807371877134,-0.7648911312278086,-1,-0.20678327981597724,0.26882672817819653,1,0.5477203231292478,0.41513576876811464,0.8594146686750708,-0.16290186578407884,-0.16323813500677153,0.24555197078734636,-0.4060532474472025,-0.3173525371761751,-0.23090794868767262,-0.08048294679720436,0.8688091980293393,0.2613921267911792,-0.5957835595556342,0.4954848266729885,0.6175003550691577,0.5818770468740391,-0.3439050298635705,0.5458262329921126,-0.7254705909690132,-0.219531309325248,0.20185493759844486,0.35567141577407524,0.9817596795767696,1,-0.19448881774270332,-0.283029886408687,-0.8157843912543459,0.3577459186058648,0.5477936367006111,-0.4403738480324349,0.21205266997193395,-1,0.12342035972570159,-0.9342315298866068"
"9","89","2706.0000","0.80000","0.02439","0.193425267845605,-0.6977807371877134,-0.7648911312278086,-1,-0.20678327981597724,0.26882672817819653,1,0.5477203231292478,1,0.8594146686750708,-0.3956284053870486,-0.16323813500677153,0.3858549015458528,-0.4060532474472025,-0.3173525371761751,-0.23090794868767262,-0.08048294679720436,0.8688091980293393,0.2613921267911792,-0.48052303359665294,0.4954848266729885,0.6175003550691577,0.5818770468740391,-0.3439050298635705,0.5458262329921126,-0.6871554245069403,-0.219531309325248,0.41451310324463475,0.35567141577407524,0.9817596795767696,1,-0.19448881774270332,-0.283029886408687,-0.47051204381793615,0.3577459186058648,0.5477936367006111,-0.8836498885728499,0.21205266997193395,-1,0.12342035972570159,-1"
"10","99","3220.0000","0.80000","0.02439","-0.11904034114782985,-0.6977807371877134,-0.7648911312278086,-0.8086415565722016,-0.3794719478301668,0.26882672817819653,1,0.5477203231292478,1,1,-0.3956284053870486,-0.16323813500677153,0.3858549015458528,-0.4060532474472025,-0.3173525371761751,-0.23090794868767262,-0.08048294679720436,0.8688091980293393,0.2613921267911792,-0.48052303359665294,0.4954848266729885,0.6175003550691577,0.5818770468740391,-0.3439050298635705,0.5458262329921126,-0.6871554245069403,-0.219531309325248,0.41451310324463475,0.5265243333327115,0.500029623170669,1,-0.19448881774270332,-0.283029886408687,-0.8157843912543459,0.3577459186058648,0.5477936367006111,-0.8836498885728499,0.16422479920313535,-1,0.12342035972570159,-1"
