"id","generation_number","best_fitness","average_fitness","worst_fitness","crossover_probability","mutation_probability"
"1","0","431.0000","100.7000","7.0000","0.80000","0.02439"
"2","1","432.0000","82.5000","6.0000","0.80000","0.02439"
"3","2","287.0000","110.0000","7.0000","0.80000","0.02439"
"4","3","335.0000","81.5000","6.0000","0.80000","0.02439"
"5","4","702.0000","185.8000","7.0000","0.80000","0.02439"
"6","5","2616.0000","380.7000","7.0000","0.80000","0.02439"
"7","6","3465.0000","380.4000","10.0000","0.80000","0.02439"
"8","7","381.0000","95.6000","12.0000","0.80000","0.02439"
"9","8","336.0000","47.9000","8.0000","0.80000","0.02439"
"10","9","865.0000","130.9000","9.0000","0.80000","0.02439"
"11","10","986.0000","252.7000","9.0000","0.80000","0.02439"
"12","11","2012.0000","513.2000","7.0000","0.80000","0.02439"
"13","12","1366.0000","734.9000","19.0000","0.80000","0.02439"
"14","13","1672.0000","943.6000","8.0000","0.80000","0.02439"
"15","14","2099.0000","1168.4000","49.0000","0.80000","0.02439"
"16","15","1451.0000","576.2000","21.0000","0.80000","0.02439"
"17","16","2408.0000","1105.2000","148.0000","0.80000","0.02439"
"18","17","2662.0000","1551.7000","127.0000","0.80000","0.02439"
"19","18","3237.0000","1484.6000","817.0000","0.80000","0.02439"
"20","19","2989.0000","1440.9000","59.0000","0.80000","0.02439"
"21","20","2995.0000","1810.9000","766.0000","0.80000","0.02439"
"22","21","2710.0000","1082.9000","41.0000","0.80000","0.02439"
"23","22","3407.0000","1529.3000","757.0000","0.80000","0.02439"
"24","23","1824.0000","1043.4000","8.0000","0.80000","0.02439"
"25","24","3427.0000","1477.0000","80.0000","0.80000","0.02439"
"26","25","2746.0000","1120.2000","278.0000","0.80000","0.02439"
"27","26","1570.0000","998.7000","27.0000","0.80000","0.02439"
"28","27","2925.0000","1326.3000","147.0000","0.80000","0.02439"
"29","28","1612.0000","933.2000","18.0000","0.80000","0.02439"
"30","29","2814.0000","1434.0000","12.0000","0.80000","0.02439"
"31","30","1269.0000","874.6000","61.0000","0.80000","0.02439"
"32","31","2711.0000","1477.0000","701.0000","0.80000","0.02439"
"33","32","1935.0000","1334.5000","943.0000","0.80000","0.02439"
"34","33","2897.0000","1157.8000","70.0000","0.80000","0.02439"
"35","34","1478.0000","921.6000","17.0000","0.80000","0.02439"
"36","35","1627.0000","1435.3000","995.0000","0.80000","0.02439"
"37","36","1847.0000","1255.1000","681.0000","0.80000","0.02439"
"38","37","3377.0000","1917.9000","730.0000","0.80000","0.02439"
"39","38","1438.0000","1137.5000","961.0000","0.80000","0.02439"
"40","39","1342.0000","1021.4000","774.0000","0.80000","0.02439"
"41","40","1770.0000","1151.0000","120.0000","0.80000","0.02439"
"42","41","2813.0000","1435.0000","1077.0000","0.80000","0.02439"
"43","42","1471.0000","1122.5000","795.0000","0.80000","0.02439"
"44","43","2855.0000","1355.0000","493.0000","0.80000","0.02439"
"45","44","1684.0000","1250.0000","873.0000","0.80000","0.02439"
"46","45","2807.0000","1526.4000","1101.0000","0.80000","0.02439"
"47","46","1682.0000","1295.4000","1012.0000","0.80000","0.02439"
"48","47","2832.0000","1570.3000","1121.0000","0.80000","0.02439"
"49","48","3429.0000","2265.2000","1123.0000","0.80000","0.02439"
"50","49","3120.0000","1501.5000","14.0000","0.80000","0.02439"
"51","50","3026.0000","1728.3000","194.0000","0.80000","0.02439"
"52","51","3438.0000","1734.9000","359.0000","0.80000","0.02439"
"53","52","2395.0000","1591.8000","874.0000","0.80000","0.02439"
"54","53","3174.0000","1791.9000","1319.0000","0.80000","0.02439"
"55","54","2848.0000","1543.1000","71.0000","0.80000","0.02439"
"56","55","2672.0000","1852.0000","1407.0000","0.80000","0.02439"
"57","56","3092.0000","1944.6000","961.0000","0.80000","0.02439"
"58","57","2915.0000","1718.7000","72.0000","0.80000","0.02439"
"59","58","3342.0000","1820.8000","1317.0000","0.80000","0.02439"
"60","59","3434.0000","2050.3000","1299.0000","0.80000","0.02439"
"61","60","3441.0000","2140.2000","11.0000","0.80000","0.02439"
"62","61","3345.0000","2090.8000","1302.0000","0.80000","0.02439"
"63","62","3338.0000","2194.8000","1136.0000","0.80000","0.02439"
"64","63","3338.0000","1746.0000","1021.0000","0.80000","0.02439"
"65","64","3431.0000","1719.4000","11.0000","0.80000","0.02439"
"66","65","3410.0000","1711.7000","15.0000","0.80000","0.02439"
"67","66","3412.0000","2120.0000","768.0000","0.80000","0.02439"
"68","67","2986.0000","1856.6000","55.0000","0.80000","0.02439"
"69","68","3318.0000","1749.9000","15.0000","0.80000","0.02439"
"70","69","2748.0000","1773.1000","125.0000","0.80000","0.02439"
"71","70","3157.0000","1819.3000","915.0000","0.80000","0.02439"
"72","71","3144.0000","1594.8000","124.0000","0.80000","0.02439"
"73","72","3257.0000","1319.5000","11.0000","0.80000","0.02439"
"74","73","2300.0000","1662.7000","18.0000","0.80000","0.02439"
"75","74","3352.0000","1965.2000","849.0000","0.80000","0.02439"
"76","75","3153.0000","1524.2000","1120.0000","0.80000","0.02439"
"77","76","3305.0000","1982.3000","1036.0000","0.80000","0.02439"
"78","77","3403.0000","2354.7000","1614.0000","0.80000","0.02439"
"79","78","3057.0000","1775.8000","978.0000","0.80000","0.02439"
"80","79","2809.0000","1669.0000","1064.0000","0.80000","0.02439"
"81","80","3060.0000","1903.8000","1193.0000","0.80000","0.02439"
"82","81","3414.0000","1601.0000","71.0000","0.80000","0.02439"
"83","82","3305.0000","1775.6000","1142.0000","0.80000","0.02439"
"84","83","3301.0000","1789.0000","670.0000","0.80000","0.02439"
"85","84","3445.0000","2147.1000","630.0000","0.80000","0.02439"
"86","85","3188.0000","1485.9000","16.0000","0.80000","0.02439"
"87","86","2959.0000","1490.6000","7.0000","0.80000","0.02439"
"88","87","2693.0000","1509.4000","61.0000","0.80000","0.02439"
"89","88","1951.0000","1558.1000","1244.0000","0.80000","0.02439"
"90","89","2706.0000","1301.9000","55.0000","0.80000","0.02439"
"91","90","2621.0000","1414.6000","11.0000","0.80000","0.02439"
"92","91","3403.0000","1630.3000","114.0000","0.80000","0.02439"
"93","92","1674.0000","1135.5000","69.0000","0.80000","0.02439"
"94","93","3314.0000","1770.6000","13.0000","0.80000","0.02439"
"95","94","2711.0000","1804.6000","1016.0000","0.80000","0.02439"
"96","95","2266.0000","1301.4000","18.0000","0.80000","0.02439"
"97","96","3313.0000","1780.3000","883.0000","0.80000","0.02439"
"98","97","2594.0000","1984.8000","1443.0000","0.80000","0.02439"
"99","98","3328.0000","1994.3000","93.0000","0.80000","0.02439"
"100","99","3220.0000","2076.2000","634.0000","0.80000","0.02439"
