"id";"generation_number";"average_fitness";"crossover_probability";"mutation_probability"
"1";"0";"164.8000";"0.7816";"0.2184"
"2";"1";"101.1000";"0.7816";"0.2184"
"3";"2";"262.8000";"0.7816";"0.2184"
"4";"3";"378.5000";"0.7816";"0.2184"
"5";"4";"232.8000";"0.7816";"0.2184"
"6";"5";"727.9000";"0.7816";"0.2184"
"7";"6";"1098.8000";"0.7816";"0.2184"
"8";"7";"872.2000";"0.7816";"0.2184"
"9";"8";"1004.7000";"0.7816";"0.2184"
"10";"9";"1331.3000";"0.7816";"0.2184"
"11";"10";"1763.8000";"0.7816";"0.2184"
"12";"11";"828.6000";"0.7816";"0.2184"
"13";"12";"852.0000";"0.7816";"0.2184"
"14";"13";"1454.1000";"0.7816";"0.2184"
"15";"14";"1251.7000";"0.7816";"0.2184"
"16";"15";"929.3000";"0.7816";"0.2184"
"17";"16";"799.7000";"0.7816";"0.2184"
"18";"17";"1034.2000";"0.7816";"0.2184"
"19";"18";"949.0000";"0.7816";"0.2184"
"20";"19";"1102.4000";"0.7816";"0.2184"
"21";"20";"1799.0000";"0.7816";"0.2184"
"22";"21";"1846.1000";"0.7816";"0.2184"
"23";"22";"1538.7000";"0.7816";"0.2184"
"24";"23";"1389.7000";"0.7816";"0.2184"
"25";"24";"1610.9000";"0.7816";"0.2184"
"26";"25";"1582.2000";"0.7816";"0.2184"
"27";"26";"2171.8000";"0.7816";"0.2184"
"28";"27";"1643.2000";"0.7816";"0.2184"
"29";"28";"1451.1000";"0.7816";"0.2184"
"30";"29";"1858.6000";"0.7816";"0.2184"
"31";"30";"1467.9000";"0.7816";"0.2184"
"32";"31";"1694.7000";"0.7816";"0.2184"
"33";"32";"1697.2000";"0.7816";"0.2184"
"34";"33";"1770.6000";"0.7816";"0.2184"
"35";"34";"1588.9000";"0.7816";"0.2184"
"36";"35";"1557.6000";"0.7816";"0.2184"
"37";"36";"1904.2000";"0.7816";"0.2184"
"38";"37";"1649.9000";"0.7816";"0.2184"
"39";"38";"1641.8000";"0.7816";"0.2184"
"40";"39";"1630.0000";"0.7816";"0.2184"
"41";"40";"1419.8000";"0.7816";"0.2184"
"42";"41";"1627.6000";"0.7816";"0.2184"
"43";"42";"2147.4000";"0.7816";"0.2184"
"44";"43";"1251.1000";"0.7816";"0.2184"
"45";"44";"1909.0000";"0.7816";"0.2184"
"46";"45";"1749.2000";"0.7816";"0.2184"
"47";"46";"1612.0000";"0.7816";"0.2184"
"48";"47";"1473.3000";"0.7816";"0.2184"
"49";"48";"1551.3000";"0.7816";"0.2184"
"50";"49";"1858.2000";"0.7816";"0.2184"
"51";"50";"1790.4000";"0.7816";"0.2184"
"52";"51";"1819.8000";"0.7816";"0.2184"
"53";"52";"2289.7000";"0.7816";"0.2184"
"54";"53";"1736.0000";"0.7816";"0.2184"
"55";"54";"1532.4000";"0.7816";"0.2184"
"56";"55";"1346.8000";"0.7816";"0.2184"
"57";"56";"1834.7000";"0.7816";"0.2184"
"58";"57";"1764.2000";"0.7816";"0.2184"
"59";"58";"1368.6000";"0.7816";"0.2184"
"60";"59";"1701.6000";"0.7816";"0.2184"
"61";"60";"1472.6000";"0.7816";"0.2184"
"62";"61";"1533.4000";"0.7816";"0.2184"
"63";"62";"1534.2000";"0.7816";"0.2184"
"64";"63";"1554.0000";"0.7816";"0.2184"
"65";"64";"1296.3000";"0.7816";"0.2184"
"66";"65";"1251.0000";"0.7816";"0.2184"
"67";"66";"928.9000";"0.7816";"0.2184"
"68";"67";"1034.3000";"0.7816";"0.2184"
"69";"68";"1337.1000";"0.7816";"0.2184"
"70";"69";"1066.2000";"0.7816";"0.2184"
"71";"70";"1373.8000";"0.7816";"0.2184"
"72";"71";"1015.3000";"0.7816";"0.2184"
"73";"72";"1408.8000";"0.7816";"0.2184"
"74";"73";"1400.7000";"0.7816";"0.2184"
"75";"74";"1179.0000";"0.7816";"0.2184"
"76";"75";"1732.0000";"0.7816";"0.2184"
"77";"76";"1706.9000";"0.7816";"0.2184"
"78";"77";"1990.7000";"0.7816";"0.2184"
"79";"78";"1464.8000";"0.7816";"0.2184"
"80";"79";"1608.7000";"0.7816";"0.2184"
"81";"80";"1666.5000";"0.7816";"0.2184"
"82";"81";"1807.5000";"0.7816";"0.2184"
"83";"82";"2096.5000";"0.7816";"0.2184"
"84";"83";"1339.3000";"0.7816";"0.2184"
"85";"84";"1438.8000";"0.7816";"0.2184"
"86";"85";"1192.7000";"0.7816";"0.2184"
"87";"86";"1137.1000";"0.7816";"0.2184"
"88";"87";"1375.7000";"0.7816";"0.2184"
"89";"88";"1162.1000";"0.7816";"0.2184"
"90";"89";"1627.8000";"0.7816";"0.2184"
"91";"90";"1270.4000";"0.7816";"0.2184"
"92";"91";"1421.6000";"0.7816";"0.2184"
"93";"92";"1340.0000";"0.7816";"0.2184"
"94";"93";"1402.3000";"0.7816";"0.2184"
"95";"94";"1128.4000";"0.7816";"0.2184"
"96";"95";"1466.8000";"0.7816";"0.2184"
"97";"96";"1030.3000";"0.7816";"0.2184"
"98";"97";"792.8000";"0.7816";"0.2184"
"99";"98";"1356.5000";"0.7816";"0.2184"
"100";"99";"886.8000";"0.7816";"0.2184"
