"id";"generation_number";"fitness";"crossover_probability";"mutation_probability";"genes"
"1";"9";"2825.0000";"0.7816";"0.2184";"0.18250507739704122,0.2594340646200999,0.2505514547228813,0.7567258332856,-0.1979489792138338,0.43055783324987795,0.9148065936085368,0.4167542915373178,-0.2373102279379964,0.15090114913668706,-0.4169826158322394,0.6051902283118915,-0.7875112575626161,0.26085224748562763,0.8033552538831356,0.26980624636308637,-0.5954372154986174,0.8577468110032935,-0.2572527691941635,-0.7179023124380794,0.6348241664345441,0.3221116296483188,0.6884544049183352,0.6005067089039768,0.016822933520294736,-0.6451598911789744,0.5537619566726829,-0.6859137085266411,-0.16802121931686997,-1,0.16392578262577562,0.49897384350896157,-0.5483691560858586,0.0583891267888248,-0.6244691578490794,-0.7159795368731866,-0.7036712503502188,-0.5097702194381692,0.034233759332264344,0.2172778013869489,1"
"2";"19";"2095.0000";"0.7816";"0.2184";"0.18250507739704122,0.2594340646200999,0.2505514547228813,0.8431601372954901,-0.1979489792138338,0.628389822870172,0.9148065936085368,-0.007510948513550719,0.701600886099963,0.18480517720994327,0.20078493512335482,-0.8413715944084692,-0.59642383504538,0.9604336448703927,0.8033552538831356,0.025821052445926224,-0.6267184640685687,0.6659284489169687,-0.4607500923793365,-0.7179023124380794,0.6348241664345441,0.3221116296483188,0.748619161003452,0.6005067089039768,0.18392886961007524,-0.6451598911789744,1,-0.8083917717533295,-0.16802121931686997,-1,0.16392578262577562,0.49897384350896157,-0.5483691560858586,-0.2517872115129237,-0.8870491521501528,-0.680857849443739,-0.7036712503502188,-0.40481627443636237,0.034233759332264344,0.5087748871531284,1"
"3";"29";"3386.0000";"0.7816";"0.2184";"0.18250507739704122,0.8542927484188656,0.24620879283324362,0.8791479386113222,0.1625215903447183,1,0.7734805555266869,0.2719155336450524,0.8600506963767349,0.06067254836681374,-0.14105824886843898,-0.7327085734715664,-0.2598992402395922,0.9903852767179703,0.5281022452001239,0.13642918487151143,-0.3937963535262494,0.799476053103205,0.051900506586793405,-0.6917671514798185,0.5654571469762601,0.2733454601229367,0.8474277064918938,0.3084696100896108,-0.010355805204774249,-0.3879181449130539,1,-1,-0.0667303958037768,-0.9675139426805515,-0.47157496905399543,0.2848231062473773,-0.6555224825112037,-0.12964292394644825,-1,-0.7271366569154083,-0.46358942866380876,-0.5866812224830986,0.14717896601941297,-0.15975048138540754,0.6640559926851592"
"4";"39";"1515.0000";"0.7816";"0.2184";"0.18250507739704122,0.821686158076372,0.10219856903774055,0.9761400631299932,-0.03200563890048353,1,1,0.45959024441073504,0.7450533818656827,0.38931355295133596,-0.39613592319895596,-1,0.04257554221872484,0.6042509328306813,0.5216470058198219,0.20867668200168338,-0.6469166078147508,0.42316630399978017,0.051900506586793405,-0.6917671514798185,0.5654571469762601,0.4021959691176533,0.34379214086099286,0.5309587242640056,0.7445491996891069,0.16184758568449742,1,-0.9673066664962324,0.06829962857166723,-0.5974508154521481,-0.537273348540802,-0.019311327011952706,-0.6555224825112037,-0.12964292394644825,-1,-0.6028227538816568,-0.7331348812746253,0.2740562805686567,0.11653264052640822,0.11862391783336737,0.5092147300081166"
"5";"49";"1948.0000";"0.7816";"0.2184";"0.18250507739704122,0.5766063656610174,-0.13727765957410995,0.6096848970218295,-0.03200563890048353,0.9813935283179442,0.8234245319075089,0.2719155336450524,0.948370951242845,0.5602152340413147,-0.033848011502325526,-0.626009165066977,-0.2476804624263169,0.7517740234750783,0.5216470058198219,0.4587003136695984,-0.4922993259705767,0.373563047340844,0.051900506586793405,-0.8120566696960873,0.37778156939964236,0.47869353071459836,0.763816174395283,0.9654085872396942,0.2445982612507001,-0.14387388149475522,0.9590485745378878,-1,-0.3046036778469324,-0.4182949740769865,-0.47157496905399543,0.2848231062473773,-1,0.14344548892147505,-0.8182068681063831,-0.7271366569154083,-0.7644490377523562,-0.454598151517873,0.12168416749805926,-0.020816446071904054,0.6281046346821979"
"6";"59";"3288.0000";"0.7816";"0.2184";"-0.14431387886269406,0.9657801207287187,-0.2699942467060432,-0.0690279366449349,0.5825919435735767,0.5574272740747392,0.7806858446717615,0.4738352420453415,0.948370951242845,0.7479275670368672,-0.517228514095948,-0.7189801471021149,0.13366401659991572,0.6718608722323007,0.27764184730573643,0.39864460510568966,-0.4922993259705767,0.373563047340844,0.051900506586793405,-0.7493736434471355,0.14634849439615405,0.47869353071459836,1,0.6470691266135523,0.4812313170215103,-0.12239030744389273,1,-0.23345314105895204,-0.15490225202062424,-0.32281035001561953,-0.5962395919202682,0.2848231062473773,-1,-0.20150736806681943,-0.8659977957755507,-0.897298575888203,-0.49746357253058293,-0.454598151517873,0.30128002224626194,0.23436403758210686,0.8897346228997615"
"7";"69";"3221.0000";"0.7816";"0.2184";"0.0266201650150642,1,-0.1655805949357111,0.10596323781821504,0.5825919435735767,0.629843556445918,0.8777624394337248,0.281312820617553,0.7346759597695485,0.7264411427760838,-0.7389250572167753,-1,0.23156839174138877,0.40927416805568706,0.27764184730573643,1,-0.4922993259705767,0.373563047340844,0.051900506586793405,-0.7493736434471355,0.4439337895869465,0.7230311460827937,1,1,0.14046791464951375,-0.12239030744389273,1,-0.9323733479344818,-0.9523951635797976,-0.08353737972631167,-0.1495505038411173,0.634789508177955,-0.7316654333052661,-0.01801390005210826,-0.8471783519024988,-0.897298575888203,-0.49746357253058293,-0.76438464345602,0.17868579179628125,0.22570863979121703,0.9199443340396737"
"8";"79";"3407.0000";"0.7816";"0.2184";"-0.08056505442324578,0.4150221372603162,-0.9569961467640162,0.3276376336887125,0.48894314196457433,1,0.9870176654770582,0.4597913051526583,1,-0.04140954632638655,-0.7285988164291523,-0.8653154223452659,0.13366401659991572,0.34177390953460196,0.7828018885340782,0.9149436623056967,0.2351190959893148,-0.09990933976128358,0.3284874445688921,-0.7195556347270551,0.4918751208857912,0.7562003520968841,0.7493967887789885,1,0.33704587064828434,0.02450758684108245,1,-0.710265758068663,-0.15490225202062424,-0.32281035001561953,-0.5292282278305862,0.4431288773534602,-0.8233128769209558,-0.2846788433049877,-0.9661178214397591,-1,-0.3354986870494474,-1,0.6610841168459586,0.751089314585245,1"
"9";"89";"3383.0000";"0.7816";"0.2184";"-0.29359796370853924,-0.02510250548201995,-1,0.853830778797046,0.7098338223294793,1,1,0.1573797456961573,1,0.012064731316448418,-0.6261467789346783,-0.9814961382286982,0.13366401659991572,0.020386300485117026,0.7828018885340782,1,0.23483625312116127,0.18458100087040435,0.7844486556558492,-0.9012155927556227,0.4918751208857912,0.7562003520968841,0.10169102151588191,1,0.45025065881104814,-0.6520173720431022,1,-0.8797056406058494,-0.15490225202062424,-0.2084332033200904,-0.575260892710981,0.3479760713804381,-0.0017721330736752972,-0.35324887701075286,-0.9661178214397591,-0.7138763154176594,-0.3384105318970074,-1,0.25111458009203247,1,1"
"10";"99";"2053.0000";"0.7816";"0.2184";"-0.9423394383891236,0.8445708427218162,-1,1,0.7348051059771972,0.7065721378661178,1,-0.10197279685586416,0.8344600160765339,0.09390511585997718,-0.5138961426489677,-1,0.10003785341543772,0.3020867279970176,0.7828018885340782,0.8998814170830284,0.07667133800652867,-0.3169141701623491,1,-0.561708113727033,0.5548404224878127,0.4346936911073054,0.7315432072629193,0.8159725704675125,0.6402494395125534,0.2778962788069429,1,-0.6920107196506459,-0.5918331886225092,-0.2526779609841618,0.14264707056038667,0.1844946462482901,-0.25454739188404824,-0.41445573764529153,-0.7457348720065899,-0.7769235151504315,-0.3384105318970074,-0.9680650884580321,0.43779202912523857,1,1"
