"id";"generation_number";"fitness";"crossover_probability";"mutation_probability";"average_ball_in_play_time"
"1";"9";"2825.0000";"0.7816";"0.2184";"36.1480"
"2";"19";"2095.0000";"0.7816";"0.2184";"42.5948"
"3";"29";"3386.0000";"0.7816";"0.2184";"46.9410"
"4";"39";"1515.0000";"0.7816";"0.2184";"36.8018"
"5";"49";"1948.0000";"0.7816";"0.2184";"36.6102"
"6";"59";"3288.0000";"0.7816";"0.2184";"28.8852"
"7";"69";"3221.0000";"0.7816";"0.2184";"40.1392"
"8";"79";"3407.0000";"0.7816";"0.2184";"31.5348"
"9";"89";"3383.0000";"0.7816";"0.2184";"41.9772"
"10";"99";"2053.0000";"0.7816";"0.2184";"37.4804"
