"id","generation_number","fitness","crossover_probability","mutation_probability","average_ball_in_play_time"
"11","9","20.0000","0.00000","0.0","56.0066","32.9510"
"12","19","0.0000","0.00000","0.0","63.6638","43.4078"
"13","29","0.0000","0.00000","0.0","50.8284","37.3634"
"14","39","0.0000","0.00000","0.0","44.7026","33.5758"
"15","49","0.0000","0.00000","0.0","57.5212","34.8184"
"16","59","0.0000","0.00000","0.0","46.1590","45.7432"
"17","69","0.0000","0.00000","0.0","41.2142","39.0608"
"18","79","0.0000","0.00000","0.0","61.7316","36.9246"
"19","89","0.0000","0.00000","0.0","63.4884","40.7326"
"20","99","0.0000","0.00000","0.0","47.3040","39.2514"
