"id","generation_number","fitness","crossover_probability","mutation_probability","average_ball_in_play_time"
"30","99","2084.0000","0.80000","0.02439","32.9510"
"29","89","1235.0000","0.80000","0.02439","43.4078"
"28","79","844.0000","0.80000","0.02439","37.3634"
"27","69","1954.0000","0.80000","0.02439","33.5758"
"26","59","1200.0000","0.80000","0.02439","34.8184"
"25","49","1043.0000","0.80000","0.02439","45.7432"
"24","39","1344.0000","0.80000","0.02439","39.0608"
"23","29","1413.0000","0.80000","0.02439","36.9246"
"22","19","1333.0000","0.80000","0.02439","40.7326"
"21","9","20.0000","0.80000","0.02439","39.2514"
