"id","generation_number","fitness","crossover_probability","mutation_probability","average_ball_in_play_time"
"1","9","598.0000","0.0010","0.0010","2.1068"
"2","19","692.0000","0.0010","0.0010","2.1356"
"3","29","59.0000","0.0010","0.0010","3.3082"
"4","39","440.0000","0.0010","0.0010","2.3792"
"5","49","2365.0000","0.0010","0.0010","7.1764"
"6","59","950.0000","0.0010","0.0010","7.6838"
"7","69","2019.0000","0.0010","0.0010","4.5758"
"8","79","234.0000","0.0010","0.0010","10.1764"
"9","89","334.0000","0.0010","0.0010","3.7868"
"10","99","217.0000","0.0010","0.0010","5.9318"
"11","9","598.0000","0.0010","0.0010","4.5346"
"12","19","692.0000","0.0010","0.0010","1.4182"
"13","29","59.0000","0.0010","0.0010","2.3094"
"14","39","440.0000","0.0010","0.0010","8.8330"
"15","49","2365.0000","0.0010","0.0010","3.1488"
"16","59","950.0000","0.0010","0.0010","6.1312"
"17","69","2019.0000","0.0010","0.0010","3.7780"
"18","79","234.0000","0.0010","0.0010","1.5482"
"19","89","334.0000","0.0010","0.0010","2.4770"
"20","99","217.0000","0.0010","0.0010","10.3416"
"21","9","598.0000","0.0010","0.0010","1.5538"
"22","19","692.0000","0.0010","0.0010","2.0320"
"23","29","59.0000","0.0010","0.0010","7.5804"
"24","39","440.0000","0.0010","0.0010","4.5818"
"25","49","2365.0000","0.0010","0.0010","2.7708"
"26","59","950.0000","0.0010","0.0010","8.9296"
"27","69","2019.0000","0.0010","0.0010","7.4378"
"28","79","234.0000","0.0010","0.0010","9.3512"
"29","89","334.0000","0.0010","0.0010","6.8312"
"30","99","217.0000","0.0010","0.0010","1.5874"
"31","9","598.0000","0.0010","0.0010","2.5352"
"32","19","692.0000","0.0010","0.0010","1.4754"
"33","29","59.0000","0.0010","0.0010","2.9778"
"34","39","440.0000","0.0010","0.0010","17.2018"
"35","49","2365.0000","0.0010","0.0010","4.5190"
"36","59","950.0000","0.0010","0.0010","1.5772"
"37","69","2019.0000","0.0010","0.0010","11.1810"
"38","79","234.0000","0.0010","0.0010","1.6474"
"39","89","334.0000","0.0010","0.0010","11.0334"
"40","99","217.0000","0.0010","0.0010","8.7974"
"41","9","598.0000","0.0010","0.0010","4.3226"
"42","19","692.0000","0.0010","0.0010","9.0518"
"43","29","59.0000","0.0010","0.0010","4.5292"
"44","39","440.0000","0.0010","0.0010","11.3988"
"45","49","2365.0000","0.0010","0.0010","2.3388"
"46","59","950.0000","0.0010","0.0010","4.2300"
"47","69","2019.0000","0.0010","0.0010","4.4370"
"48","79","234.0000","0.0010","0.0010","3.7422"
"49","89","334.0000","0.0010","0.0010","12.1230"
"50","99","217.0000","0.0010","0.0010","3.3328"
